Gss year for this respondent                       ,Respondent income in constant dollars,Happiness of marriage,General happiness,Any opp. race in neighborhood,Political party affiliation,Number of persons in household,Race of respondent,"Highest year school completed, spouse",Highest year of school completed,Number of children,Number of brothers and sisters,Spouse labor force status,Marital status,Number of hours worked last week,Respondent id number,Ballot used for interview
2014,3325.5,Not applicable,Pretty happy,Yes,Not str republican,3,White,Not applicable,12,0,3,Not applicable,Never married,79,1993,Ballot c
2014,369.5,Not applicable,Very happy,Yes,Independent,1,White,Not applicable,12,Eight or more,3,Not applicable,Divorced,40,1994,Ballot c
2014,0,Pretty happy,Not too happy,Yes,Independent,4,Other,12,12,3,6,Keeping house,Married,Not applicable,1995,Ballot b
2014,0,Not applicable,Pretty happy,No,Independent,3,White,Not applicable,13,2,2,Not applicable,Never married,Not applicable,1996,Ballot c
2014,15703.75,Not applicable,Pretty happy,Yes,Strong democrat,2,White,Not applicable,12,2,7,Not applicable,Divorced,40,1997,Ballot b
2014,24017.5,Not applicable,Very happy,No,Not str republican,2,White,Not applicable,15,1,2,Not applicable,Divorced,45,1998,Ballot b
2014,2586.5,Not applicable,Very happy,Yes,"Ind,near dem",5,White,Not applicable,13,0,4,Not applicable,Never married,40,1999,Ballot a
2014,0,Very happy,Not too happy,Yes,Not str republican,2,White,12,14,2,6,Retired,Married,Not applicable,2000,Ballot b
2014,0,Not applicable,Pretty happy,Yes,Not str democrat,1,White,Not applicable,13,3,6,Not applicable,Divorced,50,2001,Ballot a
2014,10161.25,Not applicable,Very happy,Don't know,Independent,1,White,Not applicable,12,3,3,Not applicable,Widowed,32,2002,Ballot a
2014,0,Very happy,Pretty happy,Yes,Strong republican,2,White,12,11,2,7,Retired,Married,Not applicable,2003,Ballot a
2014,0,Pretty happy,Pretty happy,Yes,"Ind,near rep",6,White,8,11,4,4,Working fulltime,Married,Not applicable,2004,Ballot c
2014,0,Not applicable,Very happy,Yes,"Ind,near dem",1,White,Not applicable,18,3,2,Not applicable,Divorced,Not applicable,2005,Ballot a
2014,12008.75,Not applicable,Pretty happy,No,"Ind,near rep",2,White,Not applicable,11,5,5,Not applicable,Separated,20,2006,Ballot b
2014,0,Not applicable,Pretty happy,Yes,Independent,2,Other,Not applicable,8,5,5,Not applicable,Divorced,Not applicable,2007,Ballot b
2014,40645,Not applicable,Not too happy,Yes,"Ind,near dem",1,White,Not applicable,11,3,5,Not applicable,Divorced,35,2008,Ballot c
2014,0,Pretty happy,Not too happy,Don't know,Independent,1,White,11,11,4,14,Working fulltime,Married,50,2009,Ballot c
2014,0,Very happy,Very happy,Yes,"Ind,near dem",2,White,11,7,3,9,Retired,Married,Not applicable,2010,Ballot c
2014,0,Very happy,Pretty happy,No,Strong democrat,6,Other,6,5,Eight or more,6,Keeping house,Married,Not applicable,2011,Ballot c
2014,24017.5,Not applicable,Pretty happy,Yes,Independent,3,White,Not applicable,14,2,3,Not applicable,Never married,52,2012,Ballot b
2014,49882.5,Not applicable,Pretty happy,Yes,"Ind,near rep",1,White,Not applicable,14,3,5,Not applicable,Divorced,20,2013,Ballot c
2014,0,Very happy,Very happy,No,Independent,5,White,12,15,3,11,Working fulltime,Married,Not applicable,2014,Ballot c
2014,0,Not applicable,Very happy,Yes,Independent,4,White,Not applicable,9,5,3,Not applicable,Never married,Not applicable,2015,Ballot a
2014,73900,Very happy,Very happy,Yes,Strong republican,2,White,12,12,2,2,Working fulltime,Married,89,2016,Ballot a
2014,0,Not applicable,Pretty happy,Don't know,Independent,2,White,Not applicable,6,2,1,Not applicable,Widowed,Not applicable,2017,Ballot b
2014,0,Not applicable,Pretty happy,Don't know,Independent,4,Other,Not applicable,12,2,3,Not applicable,Never married,Not applicable,2018,Ballot c
2014,0,Not applicable,Very happy,No,Not str democrat,5,White,Not applicable,15,3,4,Not applicable,Never married,Not applicable,2019,Ballot a
2014,0,Not applicable,Very happy,Yes,Not str republican,3,White,Not applicable,13,0,1,Not applicable,Never married,45,2020,Ballot a
2014,40645,Not applicable,Pretty happy,Yes,Strong republican,3,White,Not applicable,17,2,8,Not applicable,Never married,60,2021,Ballot a
2014,60967.5,Very happy,Pretty happy,Yes,Independent,4,Other,12,8,3,7,Keeping house,Married,60,2022,Ballot a
2014,0,Not applicable,Very happy,Don't know,Independent,5,Other,Not applicable,10,0,5,Not applicable,Never married,Not applicable,2023,Ballot b
2014,158656.952,Very happy,Very happy,Yes,Other party,5,Other,12,12,3,4,Keeping house,Married,40,2024,Ballot a
2014,20322.5,Pretty happy,Pretty happy,No,Independent,4,Other,4,4,2,7,Retired,Married,50,2025,Ballot a
2014,369.5,Not applicable,Very happy,Yes,Not str democrat,4,Other,Not applicable,9,2,4,Not applicable,Never married,Not applicable,2026,Ballot c
2014,4064.5,Not applicable,Pretty happy,Yes,Independent,9,Other,Not applicable,12,3,4,Not applicable,Never married,20,2027,Ballot c
2014,33255,Pretty happy,Pretty happy,Yes,Independent,3,White,10,10,0,4,Working parttime,Married,57,2028,Ballot c
2014,40645,Pretty happy,Pretty happy,Yes,"Ind,near dem",4,White,16,12,4,3,Working fulltime,Married,84,2029,Ballot b
2014,0,Not applicable,Pretty happy,Yes,Strong democrat,6,White,Not applicable,11,4,4,Not applicable,Never married,Not applicable,2030,Ballot b
2014,0,Not applicable,Not too happy,No,Independent,1,White,Not applicable,6,6,4,Not applicable,Separated,Not applicable,2031,Ballot a
2014,6651,Not applicable,Very happy,Yes,Not str democrat,3,White,Not applicable,12,2,1,Not applicable,Separated,40,2032,Ballot b
2014,1478,Not applicable,Pretty happy,Yes,Strong democrat,6,Black,Not applicable,12,4,5,Not applicable,Divorced,Not applicable,2033,Ballot c
2014,2586.5,Not applicable,Pretty happy,Yes,Strong democrat,1,Black,Not applicable,10,0,2,Not applicable,Never married,32,2034,Ballot b
2014,0,Very happy,Very happy,Yes,Not str republican,2,White,13,14,0,3,Working fulltime,Married,40,2035,Ballot b
2014,0,Very happy,Very happy,Yes,Not str republican,2,White,12,16,1,2,Keeping house,Married,40,2036,Ballot c
2014,24017.5,Very happy,Pretty happy,No,Strong republican,2,Other,16,0,1,6,Retired,Married,28,2037,Ballot c
2014,20322.5,Very happy,Very happy,No,Strong republican,4,White,14,15,2,2,Working fulltime,Married,30,2038,Ballot a
2014,158656.952,Very happy,Very happy,No,Not str republican,3,White,12,16,1,4,Working parttime,Married,70,2039,Ballot b
2014,0,Not applicable,Pretty happy,No,Not str republican,2,White,Not applicable,15,2,6,Not applicable,Widowed,Not applicable,2040,Ballot b
2014,0,Not applicable,Pretty happy,Yes,Strong democrat,1,White,Not applicable,18,3,2,Not applicable,Widowed,Not applicable,2041,Ballot c
2014,0,Not applicable,Very happy,Yes,Not str republican,1,White,Not applicable,14,2,4,Not applicable,Widowed,Not applicable,2042,Ballot b
2014,40645,Not applicable,Pretty happy,No,Independent,1,White,Not applicable,18,2,3,Not applicable,Divorced,50,2043,Ballot c
2014,40645,Pretty happy,Pretty happy,Yes,Not str republican,2,White,14,14,2,3,Working fulltime,Married,40,2044,Ballot c
2014,0,Not applicable,Pretty happy,Yes,Strong republican,1,White,Not applicable,18,2,2,Not applicable,Widowed,50,2045,Ballot a
2014,0,Not applicable,Pretty happy,No,Independent,1,White,Not applicable,14,5,7,Not applicable,Widowed,Not applicable,2046,Ballot b
2014,0,Very happy,Very happy,No,Not str democrat,3,White,20,14,1,2,Working fulltime,Married,Not applicable,2047,Ballot a
2014,0,Not applicable,Pretty happy,Yes,"Ind,near dem",1,White,Not applicable,14,1,4,Not applicable,Divorced,Not applicable,2048,Ballot b
2014,17551.25,Not applicable,Very happy,Yes,Not str republican,1,Other,Not applicable,12,3,10,Not applicable,Divorced,89,2049,Ballot a
2014,33255,Not applicable,Pretty happy,Yes,Independent,1,White,Not applicable,15,1,3,Not applicable,Widowed,40,2050,Ballot a
2014,1478,Not applicable,Pretty happy,No,Strong democrat,3,Other,Not applicable,14,0,1,Not applicable,Never married,33,2051,Ballot c
2014,0,Not applicable,Pretty happy,Yes,"Ind,near dem",1,White,Not applicable,16,4,2,Not applicable,Divorced,Not applicable,2052,Ballot c
2014,8313.75,Not applicable,Very happy,Don't know,"Ind,near rep",1,White,Not applicable,15,0,3,Not applicable,Never married,Not applicable,2053,Ballot b
2014,24017.5,Not applicable,Pretty happy,Yes,Independent,1,White,Not applicable,11,1,1,Not applicable,Never married,40,2054,Ballot b
2014,13856.25,Not applicable,Pretty happy,Yes,Independent,1,White,Not applicable,14,3,1,Not applicable,Divorced,40,2055,Ballot c
2014,0,Not applicable,Very happy,Yes,"Ind,near dem",3,White,Not applicable,8,0,2,Not applicable,Never married,Not applicable,2056,Ballot a
2014,49882.5,Not applicable,Pretty happy,Yes,Not str democrat,1,White,Not applicable,19,0,1,Not applicable,Never married,45,2057,Ballot a
2014,17551.25,Not applicable,Not too happy,Yes,Strong republican,1,White,Not applicable,15,0,5,Not applicable,Never married,Not applicable,2058,Ballot a
2014,0,Not applicable,Pretty happy,Yes,"Ind,near dem",1,Other,Not applicable,12,0,4,Not applicable,Never married,40,2059,Ballot a
2014,0,Not applicable,Very happy,Yes,Independent,2,White,Not applicable,13,0,2,Not applicable,Divorced,Not applicable,2060,Ballot b
2014,33255,Not applicable,Pretty happy,Yes,Strong democrat,3,White,Not applicable,18,1,4,Not applicable,Divorced,50,2061,Ballot a
2014,0,Not applicable,Pretty happy,Yes,Not str democrat,1,White,Not applicable,17,0,5,Not applicable,Never married,50,2062,Ballot a
2014,33255,Very happy,Pretty happy,Yes,Independent,2,White,17,15,0,3,Working parttime,Married,45,2063,Ballot c
2014,0,Not applicable,Not too happy,Yes,Not str democrat,1,White,Not applicable,12,1,5,Not applicable,Divorced,Not applicable,2064,Ballot c
2014,0,No answer,Pretty happy,Yes,Not str republican,1,White,14,16,6,4,No answer,Married,Not applicable,2065,Ballot b
2014,0,Very happy,Very happy,Yes,Independent,2,White,15,20,4,9,Retired,Married,Not applicable,2066,Ballot a
2014,0,Not applicable,Pretty happy,Don't know,Not str republican,1,White,Not applicable,12,0,1,Not applicable,Never married,20,2067,Ballot b
2014,0,Very happy,Very happy,Yes,Strong republican,4,White,15,16,2,1,Working fulltime,Married,40,2068,Ballot b
2014,15703.75,Not applicable,Pretty happy,Yes,Independent,1,White,Not applicable,12,1,3,Not applicable,Widowed,40,2069,Ballot c
2014,0,Not applicable,Very happy,Yes,Not str democrat,1,Other,Not applicable,9,3,8,Not applicable,Divorced,Not applicable,2070,Ballot c
2014,33255,Not applicable,Pretty happy,Yes,"Ind,near dem",3,White,Not applicable,16,3,2,Not applicable,Divorced,50,2071,Ballot b
2014,60967.5,Not applicable,Pretty happy,Yes,Not str republican,2,Other,Not applicable,16,2,1,Not applicable,Divorced,40,2072,Ballot a
2014,0,Not applicable,Pretty happy,Yes,Strong republican,1,White,Not applicable,16,2,0,Not applicable,Widowed,Not applicable,2073,Ballot b
2014,17551.25,Not applicable,Pretty happy,No,"Ind,near dem",1,White,Not applicable,16,0,6,Not applicable,Separated,35,2074,Ballot a
2014,60967.5,Not applicable,Very happy,Yes,Strong republican,3,White,Not applicable,20,0,3,Not applicable,Never married,50,2075,Ballot b
2014,12008.75,Not applicable,Pretty happy,No,Other party,2,Other,Not applicable,16,0,0,Not applicable,Never married,36,2076,Ballot c
2014,88680,Pretty happy,Pretty happy,Yes,"Ind,near dem",2,White,12,12,0,2,Working parttime,Married,40,2077,Ballot b
2014,27712.5,Not applicable,Pretty happy,Yes,Not str democrat,1,Black,Not applicable,12,0,1,Not applicable,Never married,40,2078,Ballot a
2014,17551.25,Very happy,Very happy,No,Strong republican,2,White,16,14,3,3,Working fulltime,Married,50,2079,Ballot c
2014,60967.5,Very happy,Very happy,Yes,"Ind,near dem",2,White,18,20,3,6,Working fulltime,Married,45,2080,Ballot b
2014,0,Pretty happy,Very happy,Yes,"Ind,near dem",4,White,12,14,2,2,Working fulltime,Married,35,2081,Ballot a
2014,40645,Not applicable,Pretty happy,Don't know,Independent,1,White,Not applicable,16,2,3,Not applicable,Separated,Not applicable,2082,Ballot b
2014,33255,Not applicable,Very happy,Don't know,Independent,2,White,Not applicable,14,0,3,Not applicable,Never married,35,2083,Ballot a
2014,8313.75,Not applicable,Not too happy,Yes,Not str democrat,1,Black,Not applicable,13,3,1,Not applicable,Widowed,35,2084,Ballot c
2014,20322.5,Not applicable,Pretty happy,Yes,Independent,1,White,Not applicable,17,6,2,Not applicable,Divorced,50,2085,Ballot a
2014,33255,Not applicable,Pretty happy,Yes,"Ind,near dem",2,White,Not applicable,12,2,1,Not applicable,Divorced,49,2086,Ballot a
2014,49882.5,Very happy,Pretty happy,Yes,"Ind,near rep",2,Black,16,9,0,2,Keeping house,Married,40,2087,Ballot a
2014,0,Not applicable,Pretty happy,Yes,"Ind,near dem",2,White,Not applicable,10,0,1,Not applicable,Never married,34,2088,Ballot c
2014,0,Not applicable,Pretty happy,Yes,Independent,5,White,Not applicable,8,4,16,Not applicable,Never married,57,2089,Ballot a
2014,20322.5,Not applicable,Pretty happy,Yes,Independent,1,White,Not applicable,14,1,2,Not applicable,Separated,20,2090,Ballot a
2014,20322.5,Not applicable,Not too happy,Yes,Strong democrat,1,Black,Not applicable,12,4,4,Not applicable,Never married,44,2091,Ballot a
2014,20322.5,Not applicable,Pretty happy,Don't know,Strong democrat,4,White,Not applicable,12,2,3,Not applicable,Separated,38,2092,Ballot b
2014,0,Very happy,Pretty happy,Yes,"Ind,near rep",2,White,14,15,4,1,Keeping house,Married,Not applicable,2093,Ballot a
2014,0,Pretty happy,Not too happy,Yes,Not str republican,3,White,15,13,1,3,School,Married,50,2094,Ballot c
2014,27712.5,Pretty happy,Pretty happy,Yes,"Ind,near rep",2,White,16,12,2,4,Working parttime,Married,55,2095,Ballot b
2014,0,Not too happy,Pretty happy,Yes,Not str republican,3,White,12,12,7,2,Working fulltime,Married,Not applicable,2096,Ballot c
2014,1478,Not applicable,Pretty happy,Yes,"Ind,near rep",2,White,Not applicable,13,0,7,Not applicable,Never married,40,2097,Ballot a
2014,20322.5,Not applicable,Pretty happy,Yes,Strong democrat,2,White,Not applicable,12,5,3,Not applicable,Widowed,30,2098,Ballot c
2014,0,Very happy,Very happy,Yes,Independent,6,White,12,11,4,1,Keeping house,Married,50,2099,Ballot a
2014,0,Not applicable,Pretty happy,No,"Ind,near rep",1,White,Not applicable,13,1,0,Not applicable,Never married,Not applicable,2100,Ballot c
2014,0,Not too happy,Not too happy,No,Not str democrat,6,Other,0,6,4,8,Working fulltime,Married,Not applicable,2101,Ballot c
2014,0,Very happy,Pretty happy,Yes,Independent,5,White,12,11,3,8,Working fulltime,Married,8,2102,Ballot b
2014,40645,Very happy,Very happy,Yes,Not str democrat,4,White,14,12,3,3,Working fulltime,Married,52,2103,Ballot c
2014,15703.75,Not applicable,Not too happy,No,Independent,1,White,Not applicable,14,2,7,Not applicable,Separated,70,2104,Ballot c
2014,33255,Pretty happy,Pretty happy,Yes,Not str democrat,4,White,9,9,2,10,Keeping house,Married,50,2105,Ballot b
2014,0,Very happy,Very happy,Yes,Strong democrat,3,Other,3,11,7,5,Retired,Married,Not applicable,2106,Ballot b
2014,12008.75,Very happy,Very happy,No,Independent,6,Other,4,6,4,2,Keeping house,Married,40,2107,Ballot c
2014,0,Not applicable,Not too happy,Yes,Not str democrat,1,Other,Not applicable,12,7,10,Not applicable,Widowed,Not applicable,2108,Ballot c
2014,0,Pretty happy,Not too happy,Yes,Independent,2,White,14,14,2,7,Working fulltime,Married,Not applicable,2109,Ballot a
2014,0,Very happy,Very happy,Yes,Not str democrat,2,White,16,16,3,1,Working fulltime,Married,Not applicable,2110,Ballot c
2014,0,Pretty happy,Pretty happy,Yes,"Ind,near rep",2,White,15,14,3,1,Retired,Married,Not applicable,2111,Ballot c
2014,24017.5,Not applicable,Pretty happy,Yes,Strong democrat,2,White,Not applicable,15,0,1,Not applicable,Never married,20,2112,Ballot a
2014,73900,Very happy,Pretty happy,Yes,Not str democrat,2,White,19,16,0,1,Working parttime,Married,Not applicable,2113,Ballot c
2014,0,Pretty happy,Pretty happy,Yes,Strong republican,2,White,12,15,2,1,Working fulltime,Married,Not applicable,2114,Ballot b
2014,0,Not applicable,Pretty happy,Yes,Not str democrat,1,White,Not applicable,12,5,8,Not applicable,Widowed,Not applicable,2115,Ballot b
2014,17551.25,Very happy,Pretty happy,Yes,Strong republican,6,White,16,14,3,3,Working fulltime,Married,40,2116,Ballot a
2014,15703.75,Not applicable,Very happy,Yes,Strong democrat,1,Black,Not applicable,14,4,4,Not applicable,Never married,40,2117,Ballot a
2014,33255,Very happy,Pretty happy,No,Independent,2,Other,12,13,1,4,Keeping house,Married,40,2118,Ballot c
2014,0,Very happy,Very happy,Yes,Independent,3,White,12,12,Dk na,10,Working parttime,Married,26,2119,Ballot a
2014,0,Not applicable,Not too happy,Don't know,Other party,1,Other,Not applicable,12,2,3,Not applicable,Never married,Not applicable,2120,Ballot c
2014,5542.5,Not applicable,Not too happy,Yes,"Ind,near dem",1,Other,Not applicable,18,0,1,Not applicable,Divorced,22,2121,Ballot c
2014,0,Not applicable,Very happy,Yes,Strong democrat,1,Other,Not applicable,4,0,6,Not applicable,Never married,Not applicable,2122,Ballot a
2014,33255,Not applicable,Pretty happy,Yes,Not str democrat,1,White,Not applicable,14,0,4,Not applicable,Never married,40,2123,Ballot b
2014,0,Not applicable,Very happy,Yes,Independent,1,White,Not applicable,8,4,4,Not applicable,Divorced,Not applicable,2124,Ballot c
2014,0,Not applicable,Very happy,Yes,Independent,3,Other,Not applicable,12,7,13,Not applicable,Separated,Not applicable,2125,Ballot a
2014,0,Not applicable,Very happy,Yes,Not str democrat,2,Black,Not applicable,16,1,4,Not applicable,Widowed,Not applicable,2126,Ballot a
2014,0,Not applicable,Not too happy,Yes,Independent,4,White,Not applicable,11,1,4,Not applicable,Never married,Not applicable,2127,Ballot a
2014,17551.25,Not applicable,Not too happy,Yes,Independent,3,Other,Not applicable,11,6,2,Not applicable,Divorced,40,2128,Ballot b
2014,4803.5,Pretty happy,Pretty happy,Yes,Independent,3,White,13,18,2,5,Working fulltime,Married,25,2129,Ballot a
2014,0,Very happy,Very happy,No,"Ind,near dem",6,White,3,6,4,7,Working fulltime,Married,Not applicable,2130,Ballot a
2014,0,Not applicable,Not too happy,Yes,Not str democrat,1,Other,Not applicable,13,4,2,Not applicable,Divorced,Not applicable,2131,Ballot a
2014,0,Not applicable,Pretty happy,No,Independent,2,White,Not applicable,12,4,2,Not applicable,Divorced,Not applicable,2132,Ballot b
2014,0,Not applicable,Pretty happy,No,Not str democrat,1,White,Not applicable,14,4,1,Not applicable,Widowed,Not applicable,2133,Ballot b
2014,0,Very happy,Very happy,Yes,Independent,2,White,12,9,0,2,Working fulltime,Married,Not applicable,2134,Ballot b
2014,0,Not applicable,Very happy,Yes,Independent,1,White,Not applicable,9,4,4,Not applicable,Divorced,Not applicable,2135,Ballot b
2014,0,Not applicable,Pretty happy,No,Independent,1,White,Not applicable,16,1,14,Not applicable,Separated,Not applicable,2136,Ballot b
2014,24017.5,Not applicable,Pretty happy,No,Independent,1,White,Not applicable,11,5,10,Not applicable,Divorced,40,2137,Ballot c
2014,20322.5,Pretty happy,Very happy,No,Not str democrat,2,White,12,13,2,6,Keeping house,Married,60,2138,Ballot c
2014,0,Not applicable,Very happy,No,Not str republican,1,White,Not applicable,11,5,4,Not applicable,Divorced,Not applicable,2139,Ballot c
2014,0,Not applicable,Pretty happy,Yes,Strong democrat,1,White,Not applicable,13,1,5,Not applicable,Divorced,Not applicable,2140,Ballot b
2014,60967.5,Very happy,Very happy,No,"Ind,near dem",3,White,13,20,1,1,Working fulltime,Married,35,2141,Ballot a
2014,0,Very happy,Pretty happy,No,Strong democrat,2,White,14,17,0,6,Retired,Married,Not applicable,2142,Ballot a
2014,6651,Pretty happy,Pretty happy,Yes,Not str democrat,3,White,12,16,1,1,Retired,Married,Not applicable,2143,Ballot b
2014,0,Don't know,Pretty happy,Don't know,Independent,2,White,12,9,2,2,Retired,Married,Not applicable,2144,Ballot c
2014,0,Very happy,Very happy,No,"Ind,near dem",3,White,Don't know,9,3,1,Retired,Married,Not applicable,2145,Ballot a
2014,40645,Not applicable,Pretty happy,No,"Ind,near rep",1,White,Not applicable,12,0,2,Not applicable,Widowed,40,2146,Ballot a
2014,0,Very happy,Pretty happy,No,Independent,2,Other,16,16,0,1,Working parttime,Married,20,2147,Ballot c
2014,24017.5,Very happy,Pretty happy,Yes,"Ind,near dem",4,White,15,14,3,2,Working fulltime,Married,40,2148,Ballot a
2014,0,Pretty happy,Pretty happy,Don't know,Not str republican,3,White,16,16,3,1,Working fulltime,Married,Not applicable,2149,Ballot b
2014,60967.5,Very happy,Very happy,Yes,"Ind,near dem",2,White,15,15,2,4,Working fulltime,Married,40,2150,Ballot b
2014,2586.5,Not applicable,Very happy,Yes,Not str democrat,2,White,Not applicable,20,0,6,Not applicable,Never married,Not applicable,2151,Ballot b
2014,12008.75,Very happy,Very happy,Yes,Not str republican,2,White,12,12,1,11,Working fulltime,Married,40,2152,Ballot a
2014,0,Not applicable,Very happy,Yes,"Ind,near rep",6,White,Not applicable,14,3,1,Not applicable,Widowed,Not applicable,2153,Ballot c
2014,158656.952,Very happy,Very happy,No,"Ind,near rep",2,White,14,14,2,3,Working fulltime,Married,60,2154,Ballot c
2014,4064.5,Not applicable,Pretty happy,No,Not str republican,1,White,Not applicable,17,0,2,Not applicable,Never married,43,2155,Ballot b
2014,0,Very happy,Very happy,No,Not str republican,4,White,16,17,2,3,Working fulltime,Married,Not applicable,2156,Ballot c
2014,40645,Pretty happy,Pretty happy,Yes,Strong republican,4,White,12,16,2,1,"Unempl, laid off",Married,30,2157,Ballot a
2014,0,Very happy,Not too happy,Yes,Independent,2,White,13,13,5,10,Retired,Married,Not applicable,2158,Ballot b
2014,60967.5,Pretty happy,Pretty happy,Yes,Strong democrat,3,White,18,18,0,1,Keeping house,Married,50,2159,Ballot b
2014,158656.952,Very happy,Pretty happy,No,Independent,2,White,12,12,3,3,Retired,Married,40,2160,Ballot a
2014,0,Very happy,Very happy,Yes,Not str republican,4,White,18,12,2,4,Working fulltime,Married,Not applicable,2161,Ballot b
2014,17551.25,Not applicable,Not too happy,No,Independent,1,White,Not applicable,14,0,2,Not applicable,Never married,40,2162,Ballot c
2014,0,Not applicable,Pretty happy,Yes,Independent,2,Other,Not applicable,16,0,1,Not applicable,Never married,Not applicable,2163,Ballot c
2014,10161.25,Not applicable,Very happy,Yes,Strong republican,3,White,Not applicable,13,0,3,Not applicable,Never married,Not applicable,2164,Ballot c
2014,3325.5,Not applicable,Pretty happy,Yes,"Ind,near dem",3,White,Not applicable,15,0,4,Not applicable,Never married,Not applicable,2165,Ballot a
2014,49882.5,Very happy,Pretty happy,No,Strong republican,2,White,15,16,2,2,Keeping house,Married,50,2166,Ballot c
2014,0,Not applicable,Pretty happy,No,Strong republican,3,White,Not applicable,8,5,5,Not applicable,Never married,Not applicable,2167,Ballot c
2014,15703.75,Pretty happy,Pretty happy,Yes,Not str republican,2,White,17,15,2,1,Keeping house,Married,30,2168,Ballot a
2014,0,Not applicable,Very happy,No,Not str republican,2,White,Not applicable,12,4,4,Not applicable,Widowed,Not applicable,2169,Ballot a
2014,33255,Not applicable,Pretty happy,No,Independent,2,White,Not applicable,16,1,2,Not applicable,Widowed,60,2170,Ballot b
2014,27712.5,Not applicable,Pretty happy,Yes,Independent,1,White,Not applicable,14,2,4,Not applicable,Separated,42,2171,Ballot a
2014,0,Very happy,Pretty happy,No,Strong republican,2,White,12,12,5,4,Retired,Married,Not applicable,2172,Ballot c
2014,17551.25,Not applicable,Pretty happy,No,"Ind,near rep",2,White,Not applicable,12,2,3,Not applicable,Divorced,20,2173,Ballot a
2014,0,Not applicable,Pretty happy,Don't know,Independent,4,White,Not applicable,12,0,4,Not applicable,Never married,40,2174,Ballot a
2014,33255,Not applicable,Very happy,Yes,Independent,1,White,Not applicable,19,1,3,Not applicable,Divorced,50,2175,Ballot b
2014,40645,Not applicable,Pretty happy,No,"Ind,near rep",1,White,Not applicable,16,2,1,Not applicable,Divorced,38,2176,Ballot a
2014,20322.5,Not applicable,Very happy,No,Independent,1,White,Not applicable,14,0,4,Not applicable,Divorced,40,2177,Ballot b
2014,8313.75,Not applicable,Very happy,No,"Ind,near dem",3,Other,Not applicable,16,2,11,Not applicable,Never married,52,2178,Ballot a
2014,40645,Not applicable,Pretty happy,Yes,Independent,1,White,Not applicable,14,2,2,Not applicable,Divorced,50,2179,Ballot a
2014,12008.75,Not applicable,Pretty happy,Yes,"Ind,near dem",2,Other,Not applicable,15,0,3,Not applicable,Never married,Not applicable,2180,Ballot c
2014,24017.5,Not applicable,Pretty happy,Yes,Strong democrat,1,White,Not applicable,16,0,1,Not applicable,Divorced,40,2181,Ballot a
2014,8313.75,Very happy,Very happy,Don't know,Strong democrat,2,White,18,18,0,3,Working fulltime,Married,Not applicable,2182,Ballot a
2014,40645,Very happy,Very happy,No,Not str democrat,3,White,18,20,1,1,Working fulltime,Married,40,2183,Ballot c
2014,10161.25,Not applicable,Pretty happy,Yes,"Ind,near dem",2,White,Not applicable,14,0,1,Not applicable,Never married,Not applicable,2184,Ballot a
2014,0,Very happy,Very happy,No,Independent,3,White,14,18,Eight or more,3,School,Married,Not applicable,2185,Ballot a
2014,8313.75,Not applicable,Very happy,Yes,Not str republican,2,White,Not applicable,15,1,1,Not applicable,Never married,73,2186,Ballot a
2014,24017.5,Not applicable,Very happy,Yes,"Ind,near rep",1,White,Not applicable,12,1,2,Not applicable,Never married,38,2187,Ballot c
2014,1478,Very happy,Pretty happy,Yes,Independent,3,White,11,11,4,2,Keeping house,Married,Not applicable,2188,Ballot b
2014,33255,Very happy,Very happy,Yes,Not str democrat,3,White,16,16,1,1,"Unempl, laid off",Married,50,2189,Ballot c
2014,27712.5,Not applicable,Pretty happy,Yes,Other party,1,Other,Not applicable,14,0,5,Not applicable,Never married,53,2190,Ballot a
2014,0,Not applicable,Pretty happy,Yes,Independent,2,Other,Not applicable,14,0,2,Not applicable,Never married,40,2191,Ballot a
2014,0,Not applicable,Pretty happy,Yes,Independent,2,White,Not applicable,16,0,2,Not applicable,Never married,40,2192,Ballot a
2014,60967.5,Very happy,Not too happy,Yes,"Ind,near dem",3,White,14,14,4,3,Working parttime,Married,50,2193,Ballot a
2014,0,Not applicable,Pretty happy,No,Not str democrat,4,White,Not applicable,16,0,5,Not applicable,Never married,48,2194,Ballot c
2014,0,Not applicable,Very happy,No,Strong democrat,1,White,Not applicable,14,1,14,Not applicable,Separated,Not applicable,2195,Ballot a
2014,8313.75,Not applicable,Very happy,Yes,Not str democrat,1,White,Not applicable,13,0,4,Not applicable,Never married,Not applicable,2196,Ballot b
2014,0,Not applicable,Pretty happy,Yes,Other party,1,White,Not applicable,12,0,4,Not applicable,Widowed,Not applicable,2197,Ballot b
2014,8313.75,Very happy,Very happy,No,Not str republican,2,White,14,12,0,2,Retired,Married,Not applicable,2198,Ballot c
2014,60967.5,Not applicable,Not too happy,Don't know,Not str democrat,1,White,Not applicable,12,2,3,Not applicable,Divorced,55,2199,Ballot b
2014,5542.5,Not applicable,Pretty happy,Don't know,Independent,5,Other,Not applicable,12,0,3,Not applicable,Never married,40,2200,Ballot c
2014,73900,Not applicable,Pretty happy,No,"Ind,near rep",3,White,Not applicable,16,0,4,Not applicable,Never married,50,2201,Ballot a
2014,0,Not applicable,Not too happy,No,Not str democrat,1,White,Not applicable,12,2,6,Not applicable,Widowed,Not applicable,2202,Ballot b
2014,0,Not applicable,Pretty happy,No,Independent,1,White,Not applicable,12,0,4,Not applicable,Never married,Not applicable,2203,Ballot c
